"name","id","section","coordinates","price","description","img"
"GLADELIG - Bowl","1","Dining room","","13","The beautiful sandy-glazed surface turns every meal into pure joy. Decorate your table with clean classic shapes and a strong crafted look. A timeless feel with a unique and decorative design.","https://www.ikea.com/gb/en/images/products/gladelig-bowl-grey__0799737_pe767611_s5.jpg?f=l"
"GLADELIG - Plate","2","Dining room","","15","The beautiful sandy-glazed surface turns every meal into pure joy. Decorate your table with clean classic shapes and a strong crafted look. A timeless feel with a unique and decorative design.        ","https://www.ikea.com/gb/en/images/products/gladelig-plate-grey__0799744_pe767614_s5.jpg?f=l"
"GLADELIG - Mug","3","Dining room","","3","The beautiful sandy-glazed surface turns every meal into pure joy. Decorate your table with clean classic shapes and a strong crafted look. A timeless feel with a unique and decorative design.","https://www.ikea.com/gb/en/images/products/gladelig-mug-grey__0800258_pe767830_s5.jpg?f=l"
"ENTUSIASM - Mug","4","Dining room","","10","A cosy tea with family and friends or curled up with a TV dinner in the sofa corner? ENTUSIASM is available as a mug and bowl for simpler dishes, perfect to combine thanks to their various patterns.","https://www.ikea.com/gb/en/images/products/entusiasm-mug-patterned-blue__0659244_pe710554_s5.jpg?f=l"
"ENTUSIASM - Side plate","5","Dining room","","12","A snack with the family in the kitchen or curled up with a sandwich on the sofa? Moments when ENTUSIASM side plate is perfect, especially if you match it with ENTUSIASM mug and bowl with the same patterns.","https://www.ikea.com/gb/en/images/products/entusiasm-side-plate-patterned-blue__1027857_pe835102_s5.jpg?f=l"
"VARDAGEN - Glass","6","Dining room","","4","Life’s a party, but most days are pretty ordinary. Make the most of them by serving delicious beverages in this simple, timeless glassware. Like it? There’s a whole series with the same name.","https://www.ikea.com/gb/en/images/products/vardagen-glass-clear-glass__0533549_pe648678_s5.jpg?f=l"
"SKALA - Tray","7","Dining room","","12","Large birch tray that works as well for many guests at the end of the day as for drying mushrooms and chanterelles after a day in the forest. The handles make the tray easy to grip and carry.","https://www.ikea.com/gb/en/images/products/skala-tray-birch__35996_pe126850_s5.jpg?f=l"
"OMBONAD - Tray","8","Dining room","","29","Stylish minimalism meets rustic materials. The OMBONAD series has a timeless yet bold and modern design. Together, the parts create a matched whole – as solitaires they will be an eye-catcher in any home.","https://www.ikea.com/gb/en/images/products/ombonad-tray-walnut__1028150_pe835259_s5.jpg?f=l"
"GRUNKA - 4-piece kitchen utensil set","9","Dining room","","7","Stainless steel","https://www.ikea.com/gb/en/images/products/grunka-4-piece-kitchen-utensil-set-stainless-steel__0711741_pe728430_s5.jpg?f=l"
"IKEA 365+","10","Dining room","","19","Stainless steel","https://www.ikea.com/gb/en/images/products/ikea-365-4-piece-serving-set-stainless-steel__0713271_pe729381_s5.jpg?f=l"
